Date,Close/Last,Volume,Open,High,Low
02/27/2026,$79.90,14699350,$78.02,$79.90,$77.50
02/26/2026,$78.01,6319378,$76.34,$78.68,$76.34
02/25/2026,$76.19,8126226,$75.30,$76.63,$75.0145
02/24/2026,$74.18,12199430,$76.96,$76.96,$72.92
02/23/2026,$77.00,6498893,$76.02,$77.785,$75.70
02/20/2026,$76.69,6172898,$77.11,$77.50,$75.7201
02/19/2026,$77.32,5346110,$78.02,$78.28,$76.43
02/18/2026,$77.75,5217247,$77.90,$78.075,$77.01
02/17/2026,$78.20,5795354,$79.18,$79.75,$77.85
02/13/2026,$78.48,6721020,$77.75,$79.09,$77.65
02/12/2026,$77.93,8057600,$77.51,$79.065,$77.08
02/11/2026,$77.02,10625430,$75.70,$77.02,$74.34
02/10/2026,$75.70,13120320,$73.77,$78.36,$73.00
02/09/2026,$75.77,10729430,$77.54,$78.67,$75.51
02/06/2026,$78.35,7082751,$76.37,$78.96,$76.1876
02/05/2026,$76.33,8156640,$75.23,$77.34,$75.02
02/04/2026,$75.24,11608520,$76.74,$77.52,$75.07
02/03/2026,$76.83,7162148,$75.46,$76.89,$75.46
02/02/2026,$75.42,10708980,$74.36,$75.78,$73.40
01/30/2026,$74.52,10221470,$74.11,$74.915,$73.26
01/29/2026,$74.44,10592230,$73.89,$74.915,$73.65
01/28/2026,$74.03,13569720,$71.63,$74.36,$71.42
01/27/2026,$72.00,44211470,$75.39,$77.30,$70.69
01/26/2026,$83.87,9269552,$83.25,$84.00,$82.50
01/23/2026,$83.01,7341004,$82.33,$83.29,$81.99
01/22/2026,$82.68,6423450,$80.99,$82.68,$80.76
01/21/2026,$81.49,9138931,$80.45,$82.08,$80.24
01/20/2026,$80.09,10380040,$78.34,$80.50,$77.595
01/16/2026,$78.60,9597889,$81.31,$81.555,$78.47
01/15/2026,$81.36,10428350,$79.28,$81.42,$78.12
01/14/2026,$79.33,4488050,$80.86,$80.9643,$79.21
01/13/2026,$80.68,8095232,$80.36,$81.05,$80.04
01/12/2026,$80.36,7400955,$80.75,$80.95,$78.98
01/09/2026,$80.30,7968732,$80.81,$81.155,$79.2914
01/08/2026,$80.60,7176498,$79.92,$81.08,$79.212
01/07/2026,$79.79,5948755,$80.96,$81.34,$79.73
01/06/2026,$80.70,10636760,$80.35,$81.755,$79.36
01/05/2026,$80.42,8090756,$80.00,$80.815,$78.2247
